term,normalized_term,short_definition,source_titles,source_locations,extraction_confidence,also_appears_as_corpus_term,notes
segment,segment,of an identified item for an individual segment in a given quarter may be less than $250 million when the item impacts several periods or several segments. Earnings/(loss) excluding Identified Items does include non-operational earnings events or impacts that are gen,ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | SLB N.V. (SLB Limited) Form 10-K (FY2025) | Valero Energy Corporation Form 10-K (FY2024),Exxon Mobil Corporation Form 10-K (FY2025):p3 | ConocoPhillips Form 10-K (FY2025):p2 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p3 | Enterprise Products Partners L.P. Form 10-K (FY2025):p6 | Valero Energy Corporation Form 10-K (FY2024):p3,high,,
seismic,seismic,"ment and sensing, directional drilling, seismic analysis, and in special motors that would do a remarkable thing—a mile or two underground, they would propel the drill bit forward once it had made its ninety-degree turn and started moving horizontally. And it require","ConocoPhillips Form 10-K (FY2025) | Energy (Vaclav Smil) | Energy: A Beginner's Guide | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil: A Beginner's Guide | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale","The New Map: Energy, Climate, and the Clash of Nations:p21 | The World for Sale:p53 | How the World Really Works:p159 | The Economics of Oil and Gas:p35 | Oil: A Beginner's Guide:p21 | Energy: A Beginner's Guide:p44 | Energy (Vaclav Smil):p37 | Exxon Mobil Corporation Form 10-K (FY2025):p12",low,G113,
Service Company,service company,"In 1930 Karcher founded the Geophysical Service Company which was to become Texas Instruments (later, a leader in microelectronics). Reflection seismography became much more sensitive with the use of vacuum tubes and, since the early 1950s, with the adoption of transistors.",Enterprise Products Partners L.P. Form 10-K (FY2025) | Oil: A Beginner's Guide,Oil: A Beginner's Guide:p86 | Enterprise Products Partners L.P. Form 10-K (FY2025):p158,low,G113,
Shale,shale,S. petroleum industry was changing—“The Shale Gale Goes Oily.” The main case study was the Bakken. But it also called attention to a potential mega-shift—that “operators are taking a second look in their own backyard” in order to ascertain whether the new technolog,"ConocoPhillips Form 10-K (FY2025) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil: A Beginner's Guide | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale","The New Map: Energy, Climate, and the Clash of Nations:p6 | The World for Sale:p229 | How the World Really Works:p96 | The Economics of Oil and Gas:p9 | Oil: A Beginner's Guide:p27 | Energy: A Beginner's Guide:p117 | Exxon Mobil Corporation Form 10-K (FY2025):p41 | ConocoPhillips Form 10-K (FY2025):p48",low,,
share repurchase,share repurchase,"whether in the form of dividends or of share repurchases, are made out of net of tax cash flows. There is thus an asymmetry to be exploited. If we imagine there being three parties who withdraw cash from a company (the government, the debt-holders and the shareholders) it","ConocoPhillips Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | Oil Company Crisis: Managing Structure, Profitability and Growth | SLB N.V. (SLB Limited) Form 10-K (FY2025)","Oil Company Crisis: Managing Structure, Profitability and Growth:p64 | Exxon Mobil Corporation Form 10-K (FY2025):p26 | ConocoPhillips Form 10-K (FY2025):p20 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p14",low,,
solar,solar,"As Professor Martin Green, a leader in solar research for decades, puts it, “The whole photovoltaic technology itself is a bit magical. Sunlight just falls on this inert material and you get electricity straight out of it.” But for many years the markets for PVs r","Energy (Vaclav Smil) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil: A Beginner's Guide | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | Valero Energy Corporation Form 10-K (FY2024)","The New Map: Energy, Climate, and the Clash of Nations:p9 | How the World Really Works:p4 | The Economics of Oil and Gas:p19 | Oil: A Beginner's Guide:p26 | Energy: A Beginner's Guide:p15 | Energy (Vaclav Smil):p14 | Exxon Mobil Corporation Form 10-K (FY2025):p4 | Enterprise Products Partners L.P. Form 10-K (FY2025):p68",low,,
sour crude,sour crude,= Brent Weighted Average; ASCI = Argus Sour Crude Index; HSFO = high-​sulphur fuel oil; FO = (low-​sulphur) fuel oil; WTS = West Texas Sour; LLS = Louisiana Light Sweet. WTI Second Month is the WTI future that is expiring in two months’ time. Source: Fattouh (2009).,The Economics of Oil and Gas | Valero Energy Corporation Form 10-K (FY2024),The Economics of Oil and Gas:p132 | Valero Energy Corporation Form 10-K (FY2024):p9,low,,
spot price,spot price,"s ready to pay a premium above even the spot price. Rich made a fortune. The price difference between the official price Cobuco paid to the Iranians and the spot price, equal to $5–$8 a barrel, yielded somewhere between $40 and $70 million in profits, although Monsieur","Enterprise Products Partners L.P. Form 10-K (FY2025) | Oil Company Crisis: Managing Structure, Profitability and Growth | The Economics of Oil and Gas | The World for Sale","The World for Sale:p85 | The Economics of Oil and Gas:p141 | Oil Company Crisis: Managing Structure, Profitability and Growth:p53 | Enterprise Products Partners L.P. Form 10-K (FY2025):p71",low,G113,
standardized measure,standardized measure,"of its proved oil and gas reserves. The standardized measure is prepared on the basis of certain prescribed assumptions, including first-day-of-the- month average prices, which represent discrete points in time and therefore may cause significant variability in cash flows from ye",ConocoPhillips Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025),Exxon Mobil Corporation Form 10-K (FY2025):p80 | ConocoPhillips Form 10-K (FY2025):p138,high,,
storage,storage,"ma, the major hub for pipelines and oil storage in the United States. Striding dramatically out of a labyrinth of huge pipes, he took to the podium to, in effect, dedicate the southern segment of the Keystone system. “A company called TransCanada has applied to build","ConocoPhillips Form 10-K (FY2025) | Energy (Vaclav Smil) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil Company Crisis: Managing Structure, Profitability and Growth | Oil: A Beginner's Guide | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale | Valero Energy Corporation Form 10-K (FY2024)","The New Map: Energy, Climate, and the Clash of Nations:p53 | The World for Sale:p47 | How the World Really Works:p21 | The Economics of Oil and Gas:p22 | Oil: A Beginner's Guide:p27 | Energy: A Beginner's Guide:p123 | Energy (Vaclav Smil):p96 | Oil Company Crisis: Managing Structure, Profitability and Growth:p12",low,,
successful efforts,successful efforts,"outcome is obviously linked to our very successful efforts to extend life expectancy.50 I, born in 1943, have been among the tens of millions of beneficiaries of this trend— but we cannot have it both ways: longer life expectancy will be accompanied by greater vulnerability. No","ConocoPhillips Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil Company Crisis: Managing Structure, Profitability and Growth | Valuation of International Oil Companies (Osmundsen et al. 2006)","How the World Really Works:p219 | Oil Company Crisis: Managing Structure, Profitability and Growth:p76 | Valuation of International Oil Companies (Osmundsen et al. 2006):p7 | Exxon Mobil Corporation Form 10-K (FY2025):p72 | ConocoPhillips Form 10-K (FY2025):p71",low,,do not collapse with full-cost
sulfur content,sulfur content,"unit of energy than coal. Although the sulfur content of some crude oils is high, refined products contain much less sulfur than coal and their combustion yields much less sulfur dioxide, the gas most responsible for acidifying deposition (acid rain). And, unlike the burni",Energy (Vaclav Smil) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | Oil: A Beginner's Guide,Oil: A Beginner's Guide:p63 | Energy: A Beginner's Guide:p112 | Energy (Vaclav Smil):p87 | Enterprise Products Partners L.P. Form 10-K (FY2025):p14,low,,
supermajor,supermajor,"for Shell was no entrepreneur; it was a supermajor oil and gas company, and one of the leaders in LNG. These calls sounded the alarm that U.S. supply was growing much faster than the market could absorb—meaning there would be no market in the United States for imported","The New Map: Energy, Climate, and the Clash of Nations","The New Map: Energy, Climate, and the Clash of Nations:p44",low,,
supply shock,supply shock,"commodity price cycle, the result of a supply shock, such as a crop failure or a mine closure, tends to be short-lived: the rise in prices stimulates additional supply and cools demand, and the market rebalances. Supercycles are demand led, and last longer. They tend to",The Economics of Oil and Gas | The World for Sale,The World for Sale:p160 | The Economics of Oil and Gas:p262,low,,
sweet crude,sweet crude,"AL Both the WTI and Brent are light and sweet crudes. WTI has an API gravity of about 39.6 and a sulphur content around 0.24 per cent, while Brent has an API gravity of about 38.06 and sulphur content around 0.37 per cent, making WTI slightly lighter and sweeter than",Enterprise Products Partners L.P. Form 10-K (FY2025) | The Economics of Oil and Gas | Valero Energy Corporation Form 10-K (FY2024),The Economics of Oil and Gas:p132 | Enterprise Products Partners L.P. Form 10-K (FY2025):p17 | Valero Energy Corporation Form 10-K (FY2024):p10,low,,
take-or-pay,take or pay,", 84, 85 Sumed pipeline, 97 syngas, 167 take-or-pay clause, 162–3, 165 tankers, 81–3 chartering, 85–9 chokepoints see international oil transport construction costs, 89, 91, 91 costs, 89, 90, 91 crude oil transportation cost, 92, 93 economies of scale, 89, 91–3 flags of",ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | The Economics of Oil and Gas,The Economics of Oil and Gas:p282 | Exxon Mobil Corporation Form 10-K (FY2025):p62 | ConocoPhillips Form 10-K (FY2025):p98 | Enterprise Products Partners L.P. Form 10-K (FY2025):p15,low,,
throughput,throughput,"heir average capacities (power, volume, throughput) have become larger, while their typical efficiencies and reliabilities have become better. So let’s look at the advances that have taken place in shipping, flying, navigating, computing, and communicating since the ear","ConocoPhillips Form 10-K (FY2025) | Energy (Vaclav Smil) | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil Company Crisis: Managing Structure, Profitability and Growth | Oil: A Beginner's Guide | The Economics of Oil and Gas | Valero Energy Corporation Form 10-K (FY2024)","How the World Really Works:p126 | The Economics of Oil and Gas:p114 | Oil: A Beginner's Guide:p20 | Energy (Vaclav Smil):p122 | Oil Company Crisis: Managing Structure, Profitability and Growth:p46 | Exxon Mobil Corporation Form 10-K (FY2025):p31 | ConocoPhillips Form 10-K (FY2025):p97 | Enterprise Products Partners L.P. Form 10-K (FY2025):p10",low,,
tight oil,tight oil,"(Figure 7.7, about a half of which are tight oil). The increased output from North America was offset by a loss of production across the Middle East and Africa because of sanctions and other “interruptions” 6,000 8,000 10,000 12,000 14,000 16,000 18,000 20,000 1981",ConocoPhillips Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | The Economics of Oil and Gas,The Economics of Oil and Gas:p133 | Exxon Mobil Corporation Form 10-K (FY2025):p41 | ConocoPhillips Form 10-K (FY2025):p48,low,,
trading house,trading house,", Glencore came to Sechin’s rescue. The trading house wasn’t willing to put up all the money itself, so it called on the government of Qatar. The very same Qatari sovereign wealth fund that Glasenberg had battled with over the Xstrata deal was now Glencore’s largest shareh",The World for Sale,The World for Sale:p5,low,,
unconventional,unconventional,"technologies and “non-conventional” or “unconventional” gas, the study chairman told the group, would hardly have any impact. Shale gas did not even get a fleeting mention on the list. A professor from the University of Texas shot up to object. He noted that this estimate f","ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale","The New Map: Energy, Climate, and the Clash of Nations:p22 | The World for Sale:p136 | The Economics of Oil and Gas:p163 | Exxon Mobil Corporation Form 10-K (FY2025):p38 | ConocoPhillips Form 10-K (FY2025):p4 | Enterprise Products Partners L.P. Form 10-K (FY2025):p51",low,,
upstream,upstream,"ompanies. It was estimated that the 107 upstream contracts signed with Mexican and foreign companies would, if all worked out, generate over $160 billion of investment. New, modern gasoline stations sprouted across the country. New pipelines and power plants were buil","ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | Oil Company Crisis: Managing Structure, Profitability and Growth | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | Valuation of International Oil Companies (Osmundsen et al. 2006)","The New Map: Energy, Climate, and the Clash of Nations:p49 | The Economics of Oil and Gas:p9 | Oil Company Crisis: Managing Structure, Profitability and Growth:p6 | Valuation of International Oil Companies (Osmundsen et al. 2006):p9 | Exxon Mobil Corporation Form 10-K (FY2025):p4 | ConocoPhillips Form 10-K (FY2025):p11 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p4 | Enterprise Products Partners L.P. Form 10-K (FY2025):p36",low,,
utilization rate,utilization rate,"finer’s interest to reduce its capacity utilization rate if doing so can push up the price. However, as the refining capacity is distributed much more evenly across the world than the crude oil reserves and there are no organizations, such as OPEC, that can cartelize the r",Enterprise Products Partners L.P. Form 10-K (FY2025) | Oil: A Beginner's Guide | The Economics of Oil and Gas,The Economics of Oil and Gas:p140 | Oil: A Beginner's Guide:p151 | Enterprise Products Partners L.P. Form 10-K (FY2025):p8,low,,
wellhead,wellhead,"move the new oil and gas supplies from wellhead to markets. But opponents of oil and gas have focused on blocking pipelines as a way to choke off oil and gas. Dakota Access, a project of Energy Transfer Partners and other companies, would supplant 740 railcars of oil","ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025) | Oil: A Beginner's Guide | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations","The New Map: Energy, Climate, and the Clash of Nations:p54 | The Economics of Oil and Gas:p68 | Oil: A Beginner's Guide:p52 | ConocoPhillips Form 10-K (FY2025):p14 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p4 | Enterprise Products Partners L.P. Form 10-K (FY2025):p6",low,,
West Texas Intermediate,west texas intermediate,"l with low levels of sulphur – based on West Texas Intermediate crude delivered at Cushing, Oklahoma, where Atlantic Richfield (today part of BP) had a major storage hub. For the first time in the modern era, oil traders were able to hedge their transactions. The impact was huge: su",ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025) | Oil: A Beginner's Guide | The Economics of Oil and Gas | The World for Sale | Valero Energy Corporation Form 10-K (FY2024),The World for Sale:p95 | The Economics of Oil and Gas:p15 | Oil: A Beginner's Guide:p163 | ConocoPhillips Form 10-K (FY2025):p3 | Enterprise Products Partners L.P. Form 10-K (FY2025):p159 | Valero Energy Corporation Form 10-K (FY2024):p50,low,,variant: WTI
wind,wind,"Arya, “the phase of energy addition.”1 Wind and solar have been increasing, but they were doing so atop conventional energy, which was also growing. In the United States, no new coal plants are being built and the number of operating plants is declining. Worldwid","Energy (Vaclav Smil) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil Company Crisis: Managing Structure, Profitability and Growth | Oil: A Beginner's Guide | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale | Valero Energy Corporation Form 10-K (FY2024) | Valuation of International Oil Companies (Osmundsen et al. 2006)","The New Map: Energy, Climate, and the Clash of Nations:p9 | The World for Sale:p6 | How the World Really Works:p12 | The Economics of Oil and Gas:p31 | Oil: A Beginner's Guide:p12 | Energy: A Beginner's Guide:p8 | Energy (Vaclav Smil):p9 | Oil Company Crisis: Managing Structure, Profitability and Growth:p53",low,,
working interest,working interest,"ields in Kazakhstan, and a 16.8 percent working interest in the Kashagan field in Kazakhstan. Oil production from those operations is exported primarily through the Caspian Pipeline Consortium (CPC), in which the Corporation holds a 7.5 percent interest. CPC traverses parts o",ConocoPhillips Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025),Exxon Mobil Corporation Form 10-K (FY2025):p45 | ConocoPhillips Form 10-K (FY2025):p8,high,,
WTI,wti,"tinent 36 degrees crude up to 1982, and WTI since then. NOTES Introduction: The Last Swashbucklers 1 This account of Vitol’s adventure in Libya is based on the authors’ reporting for a piece published in Bloomberg Markets magazine in June 2016, called ‘Inside Vi",ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025) | The Economics of Oil and Gas | The World for Sale | Valero Energy Corporation Form 10-K (FY2024),The World for Sale:p294 | The Economics of Oil and Gas:p15 | ConocoPhillips Form 10-K (FY2025):p3 | Enterprise Products Partners L.P. Form 10-K (FY2025):p17 | Valero Energy Corporation Form 10-K (FY2024):p50,low,,variant: West Texas Intermediate
